sheet,cell,pattern,value
Informe Trimestral Pptos,1:6,nómima,Enlace a nómima de beneficiarios
Informe Trimestral Pptos,3:9,Conocimimiento,Tecnologías del Conocimimiento S.A 
Informe Trimestral Pptos,5:5,Promociónb,Promociónb y canales de comercialización
MejoraNegocios,3:3,1Beneficiarios,1Beneficiarios/as al 30 de septiembre del 2022
PromociónComercialización,4:3,provedor,"Monto asignado
(No hay transferencia directa por lo que se asigna un monto individual dividiendo el monto asignado al provedor por la cantidad de beneficiarios)"
JUNTOS,3:3,septiembredel,Beneficiarios/as al 30 de septiembredel 2022
GremiosNacionales,5:2,Fedracion,Fedracion nacional de panaderos de chile
GremiosNacionales,5:3,Fedracion,Fedracion nacional de panaderos de chile
GremiosNacionales,11:2,_x0002_,Confederación Nacional de Federaciones de Cooperativas y Asociaciones Silvoagropecuarias_x0002_Campocoop
GremiosNacionales,11:3,_x0002_,Confederación Nacional de Federaciones de Cooperativas y Asociaciones Silvoagropecuarias_x0002_Campocoop
Barrios,4:3,provedor,"Monto asignado
(No hay transferencia directa por lo que se asigna un monto individual dividiendo el monto asignado al provedor por la cantidad de beneficiarios)"
Centros,10:7,20120,09-12-2015 / 02-12-20120
