N°,1. Ley de Presupuesto: Subtítulo / Item / Asignación,24.01.134,,,,,,,,,,,,,,,,,,,,,,,
,2. Nombre Servicio o Programa,Programa de Desarrollo Empresarial en los Territorios,,,,,,,,,,,,,,,,,,,,,,,
,3. Observaciones,Operadores formalizados al 30 de septiembre del 2022,,,,,,,,,,,,,,,,,,,,,,,
,Nombre completo,Región,Centro ,Tipo de acto,Denominación de acto,Fecha de acto,Número de acto,Presupuesto Sercotec Primer Acuerdo de Desempeño ,Presupuesto Sercotec Segundo Acuerdo de Desempeño,Presupuesto Sercotec Tercer Acuerdo de Desempeño,Presupuesto Sercotec Cuarto Acuerdo de Desempeño,Presupuesto Sercotec Quinto Acuerdo de Desempeño,Presupuesto Sercotec Primer Acuerdo de Desempeño/Segundo Convenio,Presupuesto Sercotec Segundo Acuerdo de Desempeño/Segundo Convenio,Presupuesto Sercotec Tercer Acuerdo de Desempeño/Segundo Convenio,Monto con cargo Ley de Presupuesto año 2022,,,,,,,,,
1,Universidad de Tarapacá,01. XI-Arica y Parinacota,Arica Centro,Selección de Operador de Centro ,Selección ,07-sep-2015 / 01-sep-2020,No aplica,205655999,222047768,230861000,230861000,264151407,341967542,318418232,0,314274252,,,,,,,,,
2,Corporación de Desarrollo Social del Sector Rural,01. XI-Arica y Parinacota,Arica Norte,Selección de Operador de Centro ,Selección ,44138,No aplica,287566844,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,,,,,,,,,,
3,Fundación para el Desarrollo Universidad de Tarapacá,02. I-Tarapacá,Iquique,Selección de Operador de Centro ,Selección ,42241,No aplica,291399809,263282575,286088254.2,286087958.459137,286038347,228086478,0,0,432423438,,,,,,,,,
4,Corporación Regional de Desarrollo Productivo de la Región de Tarapacá,02. I-Tarapacá,Iquique norte,Selección de Operador de Centro ,Selección ,21-julio-2021,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,342061130,No aplica,No aplica,,,,,,,,,,
5,Universidad Santo Tomás,02. I-Tarapacá,Iquique Sur,Selección de Operador de Centro ,Selección ,44278,No aplica,0,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,,,,,,,,,,
6,Universidad Arturo Prat,02. I-Tarapacá,Tamarugal,Selección de Operador de Centro ,Selección ,09-12-2015 / 02-12-20120,No aplica,214571817,200525011,216371121,212077512,205086304,255984327,0,0,,,,,,,,,,
7,Corporación para el Desarrollo Productivo de la II Región (Cierre Operación),03. II-Antofagasta,Antofagasta,Selección de Operador de Centro ,Selección ,42191,No aplica,322702452,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,770927259,,,,,,,,,
8,Corporación de Desarrollo Social del Sector Rural (Convenio Transitorio),03. II-Antofagasta,Antofagasta,Selección de Operador de Centro ,Selección ,42605,No aplica,143623270,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,,,,,,,,,,
9,Universidad Tecnológica de Chile INACAP ,03. II-Antofagasta,Antofagasta,Selección de Operador de Centro ,Selección ,09-feb-2017/ 06-dic-2021,No aplica,276979585.48333335,276487701,274703626,302675235,0,0,0,0,,,,,,,,,,
10,Corporación INCUBA2,03. II-Antofagasta,Calama,Selección de Operador de Centro ,Selección ,42332,No aplica,193801898,181825039,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,,,,,,,,,,
11,Universidad Tecnológica de Chile INACAP ,03. II-Antofagasta,Calama,Selección de Operador de Centro ,Selección ,43049,No aplica,237796701,212955415,212955415,215689174,215685842,0,0,0,,,,,,,,,,
12,Instituto profesional AIEP,03. II-Antofagasta,San Pedro de Atacama,Selección de Operador de Centro ,Selección ,44253,No aplica,0,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,,,,,,,,,,
13,Corporación para la Competitividad e Inovación de la Región de Atacama,04. III-Atacama,Copiapo,Selección de Operador de Centro ,Selección ,42191,No aplica,223387784,220766953,244705879.6,244825879.56,243672369,No aplica,No aplica,No aplica,590121452,,,,,,,,,
14,Corporación de Desarrollo Social del Sector Rural,04. III-Atacama,Copiapo,Selección de Operador de Centro ,Selección ,43977,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,409537208,404936877,354505140,,,,,,,,,,
15,Corporación de Desarrollo Social del Sector Rural,04. III-Atacama,Vallenar,Selección de Operador de Centro ,Selección ,06-jul-2015 / 26-may-2020,No aplica,195622907,162195479,193153144.32067358,182692600.76556,182692601,328573378,323965684,287776380,,,,,,,,,,
16,Universidad Santo Tomás,05. IV-Coquimbo,Coquimbo,Selección de Operador de Centro ,Selección ,44221,No aplica,287603497,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,761507887,,,,,,,,,
17,Corporación de Desarrollo Social del Sector Rural,05. IV-Coquimbo,Illapel,Selección de Operador de Centro ,Selección ,20-dic-2016 / 31-ago-2021,No aplica,234915366,214759212,214759212,214759212,214759211.80676013,214759212,0,0,,,,,,,,,,
18,Corporación de Desarrollo Social del Sector Rural,05. IV-Coquimbo,La Serena,Selección de Operador de Centro ,Selección ,06-jul-2015 / 26-may-2020,No aplica,254934603,235080646,244449886.17999998,244449300.88569993,244449300.70763102,359858568,350886297,309476880,,,,,,,,,,
