N°,1. Ley de Presupuesto: Subtítulo / Item / Asignación,24.01.133,,,
,2. Nombre Servicio o Programa,Programa de Desarrollo de Ferias Libres,,,
,3. Observaciones,Beneficiarios/as al 30 de septiembre del 2022,,,
,Nombre del Proyecto,Nombre completo,Tipo de Organización,Monto asignado,Región
1,Feria QHATU JIWASAN MARKASA.,Sindicato de trabajadores independientes Qhatu Jiwasan Markasa,Sindicato,10000000,Arica y Parinacota
2,Feria Qhatu Putiri Marka,Sindicato de trabajadores independientes Qhatu Putiri Marka,Sindicato,23818182,Arica y Parinacota
3,Mercado Carlos Pezoa,AG DE COMERCIANTES DEL MERCADO CARLOS PEZOA VELIZ DE ARICA,Asociación Gremial,26116324,Arica y Parinacota
4,Asociación Gremial Feria Libre Avenida Santa Maria,Asociación Gremial Feria Libre Avenida Santa Maria,Asociación Gremial,9090909,Tarapacá
5,Centro Comercial El Progreso Iquique S.A.,Centro Comercial El Progreso Iquique S.A.,Agrupación,19000000,Tarapacá
6,"Agrupación Agrícola, Social, Artesanal, Gastronómica y Cultural Huara","Agrupación Agrícola, Social, Artesanal, Gastronómica y Cultural Huara",Agrupación,9130000,Tarapacá
7,Asociación Gremial Mercadito Rústico de Tarapacá,Asociación Gremial Mercadito Rústico de Tarapacá,Asociación Gremial,9055000,Tarapacá
8,Asociación Indígena Kantati Suma Aljerinaje,Asociación Indígena Kantati Suma Aljerinaje,Agrupación,5266000,Tarapacá
9,Agrupación de Feriantes Alto Molle,Agrupación de Feriantes Alto Molle,Agrupación,4545454,Tarapacá
10,Centro Social y Cultural Feria Tamarugal,Centro Social y Cultural Feria Tamarugal,Agrupación,8798000,Tarapacá
11,Asociación Gremial Emprendearte Tarapacá,Asociación Gremial Emprendearte Tarapacá,Asociación Gremial,5000000,Tarapacá
12,"Agrupación Social, Cultural y Deportivo Amaru","Agrupación Social, Cultural y Deportivo Amaru",Agrupación,15200000,Tarapacá
13,Asociación Gremial de Comerciantes y Agricultores Feria Tamarugal A.G.,Asociación Gremial de Comerciantes y Agricultores Feria Tamarugal A.G.,Asociación Gremial,4481000,Tarapacá
14,Organización Social Cultural Artesanal y Deportivo Kurumi Warmi,Organización Social Cultural Artesanal y Deportivo Kurumi Warmi,Agrupación,13236363,Tarapacá
15,Federación Gremial La Gran Feria,Federación Gremial La Gran Feria,Federación Gremial,17181818,Tarapacá
16,Comité Agrupación Feria La Tirana,Comité Agrupación Feria La Tirana,Comité,5000000,Tarapacá
17,Agrupación Mujer de Esfuerzo,Agrupación Mujer de Esfuerzo,Agrupación,3001424,Tarapacá
18,Feria Rotativa Mejillones,Feria Rotativa Mejillones,Agrupación,5000000,Antofagasta
19,"Organización, social,cultural,recreativa y deportiva Manos Mágicas","Organización, social,cultural,recreativa y deportiva Manos Mágicas",Agrupación,8911772,Antofagasta
20,Asoc. Gremial Pequeños comerciantes Feria Comercial del Norte,Asoc. Gremial Pequeños comerciantes Feria Comercial del Norte,Asociación Gremial,16363636,Antofagasta
21,Agrupacion social cultural artesanos de Freirina,Agrupacion social cultural artesanos de Freirina,Agrupación,12454545,Atacama
22,Agrupación Inclusiva Flor del Desierto,Agrupación Inclusiva Flor del Desierto,Agrupación,21626935,Atacama
