Ley Presupuesto,,,Denominación,Línea de Servicio o Programa,Enlace a nómima de beneficiarios,Antecedentes Persona o entidad ejecutora,,,,,,,,,,,,,,,,,,
Sub Título,Ítem,Asig,,,,Nro. Adquisición,Nombre  Adquisición,Nombre persona o entidad ejecutora,Monto adjudicado,Región,,,,,,,,,,,,,,
24,131,1,Programa de mejoramiento de la Competitividad,Servicios Virtuales,Enlace beneficiarios/as Capacitación Virtual,585-14-LP21,SERVICIO DE ADMINISTRACION DE PLATAFORMA E LEARNING Y APLICACIÓN MOVIL,Tecnologías del Conocimimiento S.A ,96510000,38233425,Se informa monto de servicios al 30.06.2022,,,,,,,,,,,,,
,,,,,Enlace beneficiarios/as Asesoría Virtual,585-16-LE19,ASESORIA LEGAL VIRTUAL, Asesorías Legales Empresariales Chile Ltda,15000000,0,Se informa monto de servicios al 30.03.2022,,,,,,,,,,,,,
,,,,Promociónb y canales de comercialización,PromociónComercialización!A1,AOS,Asistencia Técnica Pabellón de las Pymes de Sercotec 2022,PROAXIS SPA.,2440000,Región de Valparaíso,,,,,,,,,,,,,,
,,,,,,AOS,"Gasto Administrativo (Evaluación, garantías, seguimiento financiero) Pabellón de las Pymes de Sercotec 2022 ",PROAXIS SPA.,952014,Región de Valparaíso,,,,,,,,,,,,,,
,,,,,,AOS,Asistencia Técnica Feria Mama Emprende,CONSULTORÍAS Y ASESORÍAS CARMEN GLORIA VIDAL MUENA EIRL.,2200000,Regioón del Maule,,,,,,,,,,,,,,
,,,,,,AOS,"Gasto Administrativo (Evaluación, garantías, seguimiento financiero) Feria Mama Emprende ",CONSULTORÍAS Y ASESORÍAS CARMEN GLORIA VIDAL MUENA EIRL.,449400,Regioón del Maule,,,,,,,,,,,,,,
,,,,,,AOS,Asistencia Técnica ,SOCIEDAD PARADIGMA LTDA.,2400000,Región de La Araucanía,,,,,,,,,,,,,,
,,,,,,AOS,"Gasto Administrativo (Evaluación, garantías, seguimiento financiero) ",SOCIEDAD PARADIGMA LTDA.,1880000,Región de La Araucanía,,,,,,,,,,,,,,
,,,,Formación Empresarial Ruta Digital,Beneficiarias/os Ruta Digital,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Operacionales),Codesser – Corporación de Desarrollo Social del Sector Rural,5850000,Arica Parinacota,,,,,,,,,,,,,,
,,,,,,Agente Operador Sercotec,Supervisión y Seguimiento  de la acción de fomento (Gastos Administrativos),Codesser – Corporación de Desarrollo Social del Sector Rural,3897000,Arica Parinacota,,,,,,,,,,,,,,
