file_index,source_file,sha256,rows,encoding,years,programs,program_count,is_exact_file_duplicate_in_upload_batch
17,TransparenciaActiva (17).csv,58676e5d629a386d14c7b2ac7b4218fac937436518229655a374c6c630e3eff7,86,utf-8-sig,2023|2024,Fortalecimiento y Creación de Empresas Sociales y Cooperativas,1,False
18,TransparenciaActiva (18).csv,1a406c5553b44188125a944e5b978e94c8fe45da46ffe2d6301711d4d6737913,406,latin-1,2024,Digitaliza tu Almacén,1,False
19,TransparenciaActiva (19).csv,1857cf6c9b0678a928348db7a3360e236e602a284a61b48584b07bc519f129ac,1309,latin-1,2024,Crece,1,False
20,TransparenciaActiva (20).csv,fd168fa1385ee9553fa1b764035f4dd2fcc4581f23815c2475b47247c55b9cae,570,latin-1,2024,Ruta Digital,1,True
21,TransparenciaActiva (21).csv,1f701b803269fdad4dc9bb58e8902d3341dcad0844dfe090739d009f5388eef8,380,latin-1,2024,Promoción y Canales de Comercialización,1,False
22,TransparenciaActiva (22).csv,547faa707b5c3372fbcef86037c604b5b782152f53cc23ca6b75f3be50e496de,1025,latin-1,2024,Capital Semilla,1,False
23,TransparenciaActiva (23).csv,ac73c590a19219d25320e658ea0385467b74c8466425211af610503bc985cc4b,1171,latin-1,2024,Abeja Emprende,1,False
24,TransparenciaActiva (24).csv,42c98f29fea71677a5d7ecca2b58ac0d249ae15d0c67dd7dc8b22b64835972ee,1690,latin-1,2024,Emergencia,1,False
25,TransparenciaActiva (25).csv,bc3d9d6f56e18655da545abb5f193cd002d1fe75c90b99aac655f0d24e8a3378,45217,latin-1,2024,Servicios Virtuales,1,False
27,TransparenciaActiva (27).csv,bf60dc030ed99075a706e073d8516d0abfef4284d10749d359cbe22bee3d26b5,338,latin-1,2024,Redes de Oportunidades de Negocios,1,False
28,TransparenciaActiva (28).csv,953cb441a4c47d0a5570c617564bb38baa68925b38908e669b9e5549c3fa3dfd,117,latin-1,2024,Centros de Desarrollo de Negocios,1,False
29,TransparenciaActiva (29).csv,dd498be67f6bc753b872eeb4bf0089aa2056f1d20010b7c170d7547887ff85eb,9283,latin-1,2024,Centros de Desarrollo de Negocios,1,False
30,TransparenciaActiva (30).csv,2a7086d8ba6fe079efba7f15fde942e7d8bed58ae014a4ce16253a6ed97112a7,85,utf-8-sig,2024,Fortalecimiento Gremial,1,False
31,TransparenciaActiva (31).csv,8c775a1874a25e44b305ea685e18a31ce0f4beef952f0cef53fb8956747c6033,127,utf-8-sig,2024,Desarrollo de Ferias Libres,1,False
32,TransparenciaActiva (32).csv,54c632ad4e38486bb87a8a9929450a94d900a57962ef25ab7d879e08059b49fc,33,utf-8-sig,2024,Fortalecimiento y Creación de Empresas sociales y cooperativas,1,False
