source_file,public_file,rows,years,programs,sha256
TransparenciaActiva (17).csv,ta-17-fortalecimiento-y-creacion-de-empresas-sociales-y-cooperativas.csv,86,2023|2024,Fortalecimiento y Creación de Empresas Sociales y Cooperativas,58676e5d629a386d14c7b2ac7b4218fac937436518229655a374c6c630e3eff7
TransparenciaActiva (18).csv,ta-18-digitaliza-tu-almacen.csv,406,2024,Digitaliza tu Almacén,1a406c5553b44188125a944e5b978e94c8fe45da46ffe2d6301711d4d6737913
TransparenciaActiva (19).csv,ta-19-crece.csv,1309,2024,Crece,1857cf6c9b0678a928348db7a3360e236e602a284a61b48584b07bc519f129ac
TransparenciaActiva (20).csv,ta-20-ruta-digital.csv,570,2024,Ruta Digital,fd168fa1385ee9553fa1b764035f4dd2fcc4581f23815c2475b47247c55b9cae
TransparenciaActiva (21).csv,ta-21-promocion-y-canales-de-comercializacion.csv,380,2024,Promoción y Canales de Comercialización,1f701b803269fdad4dc9bb58e8902d3341dcad0844dfe090739d009f5388eef8
TransparenciaActiva (22).csv,ta-22-capital-semilla.csv,1025,2024,Capital Semilla,547faa707b5c3372fbcef86037c604b5b782152f53cc23ca6b75f3be50e496de
TransparenciaActiva (23).csv,ta-23-abeja-emprende.csv,1171,2024,Abeja Emprende,ac73c590a19219d25320e658ea0385467b74c8466425211af610503bc985cc4b
TransparenciaActiva (24).csv,ta-24-emergencia.csv,1690,2024,Emergencia,42c98f29fea71677a5d7ecca2b58ac0d249ae15d0c67dd7dc8b22b64835972ee
TransparenciaActiva (25).csv,ta-25-servicios-virtuales.csv,45217,2024,Servicios Virtuales,bc3d9d6f56e18655da545abb5f193cd002d1fe75c90b99aac655f0d24e8a3378
TransparenciaActiva (27).csv,ta-27-redes-de-oportunidades-de-negocios.csv,338,2024,Redes de Oportunidades de Negocios,bf60dc030ed99075a706e073d8516d0abfef4284d10749d359cbe22bee3d26b5
TransparenciaActiva (28).csv,ta-28-centros-de-desarrollo-de-negocios.csv,117,2024,Centros de Desarrollo de Negocios,953cb441a4c47d0a5570c617564bb38baa68925b38908e669b9e5549c3fa3dfd
TransparenciaActiva (29).csv,ta-29-centros-de-desarrollo-de-negocios.csv,9283,2024,Centros de Desarrollo de Negocios,dd498be67f6bc753b872eeb4bf0089aa2056f1d20010b7c170d7547887ff85eb
TransparenciaActiva (30).csv,ta-30-fortalecimiento-gremial.csv,85,2024,Fortalecimiento Gremial,2a7086d8ba6fe079efba7f15fde942e7d8bed58ae014a4ce16253a6ed97112a7
TransparenciaActiva (31).csv,ta-31-desarrollo-de-ferias-libres.csv,127,2024,Desarrollo de Ferias Libres,8c775a1874a25e44b305ea685e18a31ce0f4beef952f0cef53fb8956747c6033
TransparenciaActiva (32).csv,ta-32-fortalecimiento-y-creacion-de-empresas-sociales-y-cooperativas.csv,33,2024,Fortalecimiento y Creación de Empresas sociales y cooperativas,54c632ad4e38486bb87a8a9929450a94d900a57962ef25ab7d879e08059b49fc
