razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
AGRICOLA DIEGO KAMINSKI PACHECO EIRL,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,24-10-2025,24-10-2025,CER-D10-015363,9000000.0,subsidio directo
AGRICOLA DIEGO KAMINSKI PACHECO EIRL,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
AGROINGENIA SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
AGROINGENIA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
AIR WASH SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,24-10-2025,24-10-2025,CER-D10-015363,9000000.0,subsidio directo
AIR WASH SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
AIR WASH SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
Alfonsino SPA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
ALFONSINO SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,12-09-2025,12-09-2025,CER-D13-015239,1200000.0,subsidio directo
ALICIA DEL CARMEN OVANDO AGUILAR,persona natural o razon social sin forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
ALICIA DEL CARMEN OVANDO AGUILAR,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
AMUKAN COCINA GOURMET SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
AMUKAN COCINA GOURMET SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
APICOLA RENE MARTINEZ CARTEZ EIRL,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,07-10-2025,07-10-2025,CER-D07-015295,9000000.0,subsidio directo
